name ,x,y,x_test,ytest,err_x,err_y,err
h23,90,250,110.45,228.35,20.45,21.65,29.78
h20,60,160,70.89,126.96,10.89,33.04,34.79
h40,-130,160,-154.53,129.08,24.53,30.92,39.47
h31,100,130,126.68,98.51,26.68,31.49,41.27
h38,100,190,128.03,154.52,28.03,35.48,45.22
h21,90,160,101.03,127.17,11.03,32.83,34.63
h11,-60,220,-108.54,196.64,48.54,23.36,53.87
h30,-50,190,-44.43,156.39,5.57,33.61,34.07
h46,-160,130,-185.72,95.96,25.72,34.04,42.66
h8,-30,250,-38.33,228.45,8.33,21.55,23.1
h17,30,250,41.44,222.45,11.44,27.55,29.83
h7,-30,190,-36.94,159.29,6.94,30.71,31.48
h47,-130,160,-150.99,129.38,20.99,30.62,37.12
h34,100,190,123.08,161.84,23.08,28.16,36.41
h43,70,160,92.2,128.47,22.2,31.53,38.56
h49,-70,220,-80.69,197.88,10.69,22.12,24.57
h35,-70,190,-86.38,165.06,16.38,24.94,29.84
h39,-70,250,-92.84,219.58,22.84,30.42,38.04
h25,120,280,151.4,258.71,31.4,21.29,37.94
h24,90,280,117.23,257.63,27.23,22.37,35.24
h4,115,130,136.2,95.08,21.2,34.92,40.85
h26,100,160,127.09,130.54,27.09,29.46,40.02
h9,-30,280,-38.16,270.25,8.16,9.75,12.71
h2,0,190,0.69,159.91,0.69,30.09,30.1
h44,130,250,161.07,222.47,31.07,27.53,41.51
h16,30,220,40.52,194.08,10.52,25.92,27.97
h6,90,100,97.88,65.46,7.88,34.54,35.43
h18,30,280,39.89,263.52,9.89,16.48,19.22
h42,70,250,97.12,220.24,27.12,29.76,40.26
h12,-60,250,-109.45,229.26,49.45,20.74,53.62
h36,-160,90,-185.12,48.18,25.12,41.82,48.78
h33,160,160,194.78,127.38,34.78,32.62,47.68
h5,115,100,141.02,63.81,26.02,36.19,44.57
h22,90,220,113.99,190.73,23.99,29.27,37.85
h41,-60,250,-75.53,231.73,15.53,18.27,23.98
h10,-60,280,-110.4,263.77,50.4,16.23,52.95
h14,-90,280,-146.48,270.48,56.48,9.52,57.28
h27,100,100,126.46,64.45,26.46,35.55,44.32
h3,90,190,107.49,158.6,17.49,31.4,35.94
h28,-130,130,-144.38,94.81,14.38,35.19,38.01
h32,100,220,125.56,192.43,25.56,27.57,37.6
h37,100,250,131.29,231.35,31.29,18.65,36.43
h1,90,130,105.11,93.86,15.11,36.14,39.17
h45,-100,190,-121.58,159.32,21.58,30.68,37.51
h48,-100,190,-111.52,165,11.52,25,27.53
h13,-90,250,-145.27,229.88,55.27,20.12,58.82
h29,-130,220,-159.39,193.98,29.39,26.02,39.25
h50,70,250,110.41,224.62,40.41,25.38,47.72
h19,60,220,77.09,193.02,17.09,26.98,31.94
h15,30,190,34.94,162.61,4.94,27.39,27.83
